id,법정동코드,시도명,시군구명,읍면동명,리명,x,y
1,2671025021,부산광역시,기장군,기장읍,동부리,129.21825,35.249135
2,2671025022,부산광역시,기장군,기장읍,교리,129.2155,35.2551
3,2671025023,부산광역시,기장군,기장읍,신천리,129.2287,35.2426
4,2671025024,부산광역시,기장군,기장읍,죽성리,129.24,35.2436
5,2671025025,부산광역시,기장군,기장읍,서부리,129.205163,35.247451
6,2671025026,부산광역시,기장군,기장읍,대라리,129.2025,35.2363
7,2671025027,부산광역시,기장군,기장읍,청강리,129.2115,35.2301
8,2671025028,부산광역시,기장군,기장읍,대변리,129.2294,35.22656
9,2671025029,부산광역시,기장군,기장읍,연화리,129.2201,35.2142
10,2671025030,부산광역시,기장군,기장읍,만화리,129.198647,35.260553
11,2671025031,부산광역시,기장군,기장읍,석산리,129.212737,35.207168
12,2671025032,부산광역시,기장군,기장읍,당사리,129.208475,35.193618
13,2671025033,부산광역시,기장군,기장읍,시랑리,129.218528,35.196149
14,2671025034,부산광역시,기장군,기장읍,내리,129.1841,35.2095
15,2671025321,부산광역시,기장군,장안읍,좌천리,129.237413,35.316308
16,2671025322,부산광역시,기장군,장안읍,효암리,129.297625,35.330342
17,2671025323,부산광역시,기장군,장안읍,고리,129.293833,35.322479
18,2671025324,부산광역시,기장군,장안읍,좌동리,129.2433,35.325
19,2671025325,부산광역시,기장군,장안읍,장안리,129.2271,35.373
20,2671025326,부산광역시,기장군,장안읍,덕선리,129.2222,35.337
21,2671025327,부산광역시,기장군,장안읍,용소리,129.243475,35.341399
22,2671025328,부산광역시,기장군,장안읍,기룡리,129.250512,35.35389
23,2671025329,부산광역시,기장군,장안읍,명례리,129.2576,35.3756
24,2671025330,부산광역시,기장군,장안읍,월내리,129.276375,35.327517
25,2671025331,부산광역시,기장군,장안읍,반룡리,129.262175,35.337999
26,2671025332,부산광역시,기장군,장안읍,임랑리,129.2565,35.3195
27,2671025333,부산광역시,기장군,장안읍,오리,129.2732,35.361
28,2671025334,부산광역시,기장군,장안읍,길천리,129.284138,35.334249
29,2671025621,부산광역시,기장군,정관읍,방곡리,129.18773,35.327666
30,2671025622,부산광역시,기장군,정관읍,매학리,129.1651,35.3167
31,2671025623,부산광역시,기장군,정관읍,임곡리,129.138337,35.350465
32,2671025624,부산광역시,기장군,정관읍,월평리,129.1364,35.3618
33,2671025625,부산광역시,기장군,정관읍,달산리,129.1917,35.3145
34,2671025626,부산광역시,기장군,정관읍,병산리,129.193775,35.348265
35,2671025627,부산광역시,기장군,정관읍,모전리,129.1608,35.3381
36,2671025628,부산광역시,기장군,정관읍,용수리,129.182375,35.337099
37,2671025629,부산광역시,기장군,정관읍,두명리,129.1559,35.353965
38,2671025630,부산광역시,기장군,정관읍,예림리,129.210188,35.325308
39,2671025921,부산광역시,기장군,일광읍,삼성리,129.220425,35.2604
40,2671025922,부산광역시,기장군,일광읍,이천리,129.24585,35.275092
41,2671025923,부산광역시,기장군,일광읍,학리,129.247625,35.2522
42,2671025924,부산광역시,기장군,일광읍,동백리,129.2501,35.2899
43,2671025925,부산광역시,기장군,일광읍,문중리,129.2542,35.3031
44,2671025926,부산광역시,기장군,일광읍,신평리,129.2507,35.2973
45,2671025927,부산광역시,기장군,일광읍,칠암리,129.2562,35.2992
46,2671025928,부산광역시,기장군,일광읍,문동리,129.2567,35.3098
47,2671025929,부산광역시,기장군,일광읍,청광리,129.230974,35.29732
48,2671025930,부산광역시,기장군,일광읍,원리,129.226425,35.309283
49,2671025931,부산광역시,기장군,일광읍,화전리,129.227287,35.2853
50,2671025932,부산광역시,기장군,일광읍,횡계리,129.221275,35.272225
51,2671025933,부산광역시,기장군,일광읍,용천리,129.199475,35.288717
52,2671033021,부산광역시,기장군,철마면,와여리,129.1438,35.2861
53,2671033022,부산광역시,기장군,철마면,장전리,129.1373,35.2713
54,2671033023,부산광역시,기장군,철마면,백길리,129.1535,35.2884
55,2671033024,부산광역시,기장군,철마면,송정리,129.1321,35.3038
