id,법정동코드,시도명,시군구명,읍면동명,x,y
1,2671025000,부산광역시,기장군,기장읍,129.215757,35.238735
2,2671025300,부산광역시,기장군,장안읍,129.244706,35.312458
3,2671025600,부산광역시,기장군,정관읍,129.180397,35.325481
4,2671025900,부산광역시,기장군,일광읍,129.233359,35.264938
5,2671033000,부산광역시,기장군,철마면,129.149713,35.275283
6,2771025000,대구광역시,달성군,화원읍,128.489683,35.79781
7,2771025300,대구광역시,달성군,논공읍,128.419914,35.774305
8,2771025600,대구광역시,달성군,다사읍,128.453928,35.861843
9,2771025900,대구광역시,달성군,유가읍,128.459816,35.69393
10,2771026200,대구광역시,달성군,옥포읍,128.463737,35.789589
11,2771026500,대구광역시,달성군,현풍읍,128.447609,35.697465
12,2771031000,대구광역시,달성군,가창면,128.622818,35.80269
13,2771033000,대구광역시,달성군,하빈면,128.445503,35.900923
14,2771038000,대구광역시,달성군,구지면,128.413612,35.658777
15,2772025000,대구광역시,군위군,군위읍,128.568756,36.239943
16,2772031000,대구광역시,군위군,소보면,128.475219,36.25499
17,2772032000,대구광역시,군위군,효령면,128.5854,36.156865
18,2772033000,대구광역시,군위군,부계면,128.664188,36.10089
19,2772034000,대구광역시,군위군,우보면,128.661788,36.194985
20,2772035000,대구광역시,군위군,의흥면,128.715162,36.175818
21,2772036000,대구광역시,군위군,산성면,128.694895,36.123054
22,2772037000,대구광역시,군위군,삼국유사면,128.794664,36.123278
23,2871025000,인천광역시,강화군,강화읍,126.483697,37.74836
24,2871031000,인천광역시,강화군,선원면,126.484802,37.713293
25,2871032000,인천광역시,강화군,불은면,126.480287,37.686616
26,2871033000,인천광역시,강화군,길상면,126.489149,37.641662
27,2871034000,인천광역시,강화군,화도면,126.419847,37.63169
28,2871035000,인천광역시,강화군,양도면,126.422084,37.66287
29,2871036000,인천광역시,강화군,내가면,126.389865,37.71938
30,2871037000,인천광역시,강화군,하점면,126.411652,37.774897
31,2871038000,인천광역시,강화군,양사면,126.408525,37.798394
32,2871039000,인천광역시,강화군,송해면,126.463439,37.764632
33,2871040000,인천광역시,강화군,교동면,126.282912,37.78445
34,2871041000,인천광역시,강화군,삼산면,126.320308,37.704852
35,2871042000,인천광역시,강화군,서도면,126.239294,37.650332
36,2872031000,인천광역시,옹진군,북도면,126.428721,37.532862
37,2872033000,인천광역시,옹진군,백령면,124.718691,37.974176
38,2872034000,인천광역시,옹진군,대청면,124.712293,37.825384
39,2872035000,인천광역시,옹진군,덕적면,126.145046,37.227812
40,2872036000,인천광역시,옹진군,영흥면,126.483908,37.256001
41,2872037000,인천광역시,옹진군,자월면,126.307202,37.254617
42,2872038000,인천광역시,옹진군,연평면,125.702376,37.664413
43,3171025000,울산광역시,울주군,온산읍,129.314343,35.434599
44,3171025300,울산광역시,울주군,언양읍,129.125761,35.569276
45,3171025600,울산광역시,울주군,온양읍,129.280485,35.419429
46,3171025900,울산광역시,울주군,범서읍,129.23052,35.568624
47,3171026200,울산광역시,울주군,청량읍,129.306115,35.493194
48,3171026500,울산광역시,울주군,삼남읍,129.108601,35.541026
49,3171031000,울산광역시,울주군,서생면,129.325925,35.349965
50,3171034000,울산광역시,울주군,웅촌면,129.208314,35.461375
51,3171036000,울산광역시,울주군,두동면,129.201173,35.654342
52,3171037000,울산광역시,울주군,두서면,129.161861,35.647914
53,3171038000,울산광역시,울주군,상북면,129.091325,35.590515
54,3171040000,울산광역시,울주군,삼동면,129.157584,35.523766
55,3611025000,세종특별자치시,세종시,조치원읍,127.298428 36.604566,
56,3611031000,세종특별자치시,세종시,연기면,127.251526 36.542849,
57,3611032000,세종특별자치시,세종시,연동면,127.327405 36.555165,
